date,title,anger,fear,negative,positive,sadness,trust,anticipation,joy,disgust,surprise,anticip,word_count
2020-06-11,"Shares of several communication companies are trading lower following an increase in coronavirus cases in some US states that have reopened, leading to concerns of a second wave of the virus.",0.0,0.0,0.0101010101010101,0.00505050505050505,0.00505050505050505,0.0101010101010101,0.0,0.0,0.0,0.0,0.0,33
2020-06-04,A Peek Into Verizon's P/E Ratio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-05-22,"Oppenheimer Bullish On Wireless Services, Upgrades American Tower, Crown Castle",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-05-21,3 Ways Small Businesses Can Get Emergency Help Right Now,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-05-20,Verizon accelerating 5G implementation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-05-19,Verizon Closes Acquisition Deal With BlueJeans Network In A Month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-05-17,"Barron's Picks And Pans: Cisco, Gilead, Netflix, Wayfair And More",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
2020-05-11,Verizon and SiriusXM team up to bring SiriusXM with 360L to new Audi vehicles,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,14
2020-05-05,Verizon Reports Strategic Advanced TV Relationship With Ampersand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-04-28,"Baird Maintains Neutral on Verizon Communications, Lowers Price Target to $58",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-04-28,"Cramer Shares His Thoughts On Slack, Archer Daniels Midland And More",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-04-27,"Citigroup Maintains Neutral on Verizon Communications, Raises Price Target to $60",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-04-27,"Raymond James Maintains Outperform on Verizon Communications, Raises Price Target to $61",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-04-24,Mid-Day Market Update: Limelight Networks Falls Following Q1 Earnings; Mesoblast Shares Surge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-04-24,Verizon Communications: Q1 Earnings Insights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-04-24,Afternoon Market Stats in 5 Minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-04-24,Mid-Morning Market Update: Markets Mostly Flat; Verizon Profit Tops Estimates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-04-24,Crude Oil Bounce Gives Energy Stock A Lift As Market Volatility Ebbs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-04-24,"5 Stocks To Watch For April 24, 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-04-24,"Verizon Communications Q1 EPS $1.260 Beats $1.230 Estimate, Sales $31.600B Miss $32.440B Estimate",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
2020-04-24,"A Peek Into The Markets: US Stock Futures Up Ahead Of Verizon, American Express Earnings",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
2020-04-24,Mid-Afternoon Market Update: Dow Rises 150 Points; Pluristem Therapeutics Shares Spike Higher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-04-24,"Earnings Scheduled For April 24, 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-04-22,Verizon Signs Agreements For More Than 380 MW Of Renewable Energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-04-21,How Stable Are Their Networks? AT&T And Verizon Set To Release Q1 Earnings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
2020-04-19,"Barron's Picks And Pans: Dropbox, Ford, Johnson & Johnson, Teladoc And More",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
2020-04-18,"Indexes End Week Higher As White House Rolls Out State-By-State Coronavirus Strategy, Investors Digest First Round Of Earnings Reports",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
2020-04-17,"JP Morgan Maintains Neutral on Verizon Communications, Lowers Price Target to $62",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-04-17,"Morgan Stanley Maintains Equal-Weight on Verizon Communications, Lowers Price Target to $60",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-04-16,"Verizon Press Release Confirms Purchase Of BlueJeans Network, No Terms Disclosed",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-04-16,Verizon To Buy Video Conference Co. BlueJeans Network,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-04-16,"Verizon Purchases Blue Jeans Network, A Video Confirming Co., Will Pay Less That $500M",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
2020-04-16,Zoom Video Shares Down 4.5% Following Report Verizon To Buy Video Conference Co. Blue Jeans For Under $500M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
2020-04-15,Every Member Of Trump's 'Great American Economic Revival' Industry Groups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-04-14,OnePlus 85G UW To Be Available On Verizon Starting Apr. 29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-04-12,"Barron's Picks And Pans: Berkshire Hathaway, Disney, SoftBank And More",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-04-09,Communications Services Sector Earnings: When Staying In Becomes The Trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-04-06,"Credit Suisse Maintains Neutral on Verizon Communications, Lowers Price Target to $61",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-04-03,"SunTrust Robinson Humphrey Maintains Buy on Verizon Communications, Lowers Price Target to $60",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
2020-04-01,"FCC Proposes Spectrum Changes To Boost Wi-Fi Speed Change Would Benefit Tech Companies At Possible Cost To Broadcaster, Telecommunications Carriers",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
2020-03-31,Hearing Trump To Speak To Execs At Major Telecom Cos. Tues.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-03-31,'Trump is set to speak to officials from seven major internet/mobile providers at 230 pm to talk about networks. FCC says US networks are performing well despite changes in usage patterns' -Tweet From DC Reuters Reporter,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
2020-03-30,Portfolio Manager Offers Buying Tips: Focus On What You Own,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-30,"Verizon shares are trading higher. Strength appears to be market related, as equities continue to rebound following last week's US stimulus measures.",0.0,0.0,0.0,0.009615384615384616,0.0,0.019230769230769232,0.009615384615384616,0.0,0.0,0.0,0.0,26
2020-03-30,"Nomura Maintains Neutral on Verizon Communications, Lowers Price Target to $61",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-03-27,Why Stock Exchange Floor Closings Could Be Creating End-Of-Day Volatility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-26,Verizon shares are trading higher. Strength appears market related as US equities move higher following Senate passage of a $2 trillion economic stimulus package.,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,27
2020-03-24,Shares of several communication services companies are trading higher as equities gain amid hopes of a US stimulus agreement.,0.0,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.0,0.0,0.0,20
2020-03-20,Microsoft Teams Adds 12M Customers In A Week As Coronavirus Forces Remote Work Boom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-03-20,"Verizon CEO Hans Vestberg On CNBC Late Thursday Said Streaming Demand Increased 12% Week Over Week, Web Traffic Increased 20%, Gaming Increased 75%, Social Media Usage Remained Constant",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
2020-03-20,"'Web traffic spiked 20% in one week amid coronavirus shutdown, Verizon CEO says' -CNBC, From Late Thursday",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
2020-03-20,Shares of several telecommunications companies are trading lower amid coronavirus-related market volatility.,0.010989010989010988,0.010989010989010988,0.021978021978021976,0.0,0.010989010989010988,0.0,0.010989010989010988,0.0,0.0,0.010989010989010988,0.0,13
2020-03-17,"Exxon, Verizon To Sell New Bonds Amid Credit Market Slump",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-17,"Verizon Says Not Able At This Time To Estimate Impact Of Coronavirus On Financial Or Operational Results; Says Impact Could Be Material, May Affect Ability Of Suppliers And Vendors To Provide Products And Services To Co.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
2020-03-16,Shares of several communications companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.,0.00390625,0.00390625,0.015625,0.0,0.00390625,0.0,0.0,0.0,0.0,0.00390625,0.0,32
2020-03-16,"Raymond James Upgrades Verizon Communications to Outperform, Announces $58 Price Target",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-03-16,Stocks That Hit 52-Week Lows On Monday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-03-13,Federal Communications Commission Chairman Says Major Internet Providers Have Agreed For Next 60 Days Not To Cancel Service For Consumers Who Cannot Pay Their Bills Due To Disruptions Caused By Coronavirus Pandemic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
2020-03-13,Shares of several communication and media companies are trading higher as the market rebounds following Thursday's selloff. NOTE: Since the coronavirus outbreak the healthcare sector has been extremely volatile.,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,33
2020-03-12,Verizon Increases Capital Guidance Range From $17B-$18B To $17.5B-$18.5B In 2020; Says Has Not Seen Measurable Increase In Data Usage Since Start Of Coronavirus Outbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
2020-03-12,Stocks That Hit 52-Week Lows On Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-03-12,Shares of several communications companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.,0.00390625,0.00390625,0.015625,0.0,0.00390625,0.0,0.0,0.0,0.0,0.00390625,0.0,32
2020-03-10,Morning Market Stats In 5 Minutes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-03-05,Don't Let Your Small Business Fall Victim To Cybercriminals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-03-03,"Super Tuesday Begins As Investors Eye Earnings From Kohl's, Target, And G7 Disappoints",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
2020-03-03,Verizon CFO Says Co Hasn't Seen A 'Material Impact' On Its Supply Chain From Coronavirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
2020-03-02,"UPDATE: Cowen Upgrades Verizon To Outperform, Maintains $61 Target As Firm Looks 'to take advantage of the recent sell-off with the stock now trading at a dividend spread (vs. the 10-yr rate) not seen in 7+ years'",0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43
2020-03-02,"UPDATE: Cowen On Verizon Notes 'We see low EPS risk considering its U.S.-centric utility-like wireless business and a well-covered dividend currently yielding 4.5% with outer year catalysts tied to ""true"" 5G and building FCF'",0.002331002331002331,0.002331002331002331,0.002331002331002331,0.006993006993006992,0.0,0.002331002331002331,0.004662004662004662,0.002331002331002331,0.0,0.002331002331002331,0.0,39
2020-03-02,Verizon Communications shares are trading higher after Cowen & Co upgraded the stock from Market Perform to Outperform and announced a $61 price target.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
2020-03-02,"Airlines, Casino Stocks Come Under Additional Pressure On Painful Data From China",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-03-02,"Verizon,  Walmart Might Turn Some Stores Into 5G Healthcare Hubs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-02,"Benzinga's Top Upgrades, Downgrades For March 2, 2020",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-03-02,"Cowen & Co. Upgrades Verizon Communications to Outperform, Announces $61 Price Target",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-03-01,"Barron's Picks And Pans: COVID-19 Stocks, Intel, Tesla And More",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-03-01,"Walmart, Verizon in Talks to Test 5G Services in Some Stores",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
