date,title,stock
2020-06-11,"Shares of several technology companies are trading lower, selling off from Wednesday strength as an increase in coronavirus cases in some US states has led to concerns of a second wave of the virus.",IBM
2020-06-11,Amazon Places One-Year Moratorium On Police Use Of Facial Recognition Technology,IBM
2020-06-10,"Cloudera Analysts Examine Potential Suitors, Takeout Price Amid Sale Rumor",IBM
2020-06-09,Shares of several technology companies are trading lower as equities sell off following recent rally. Stocks have rallied over the past week amid optimism towards the US economy reopening and investors have potentially taken some profits following run up.,IBM
2020-06-09,"IBM Discontinues Facial Recognition Technology, Says It Can't Condone 'Racial Profiling' Or 'Mass Surveillance'",IBM
2020-06-05,Shares of several companies in the broader technology sector are trading higher as markets rally on strong US jobs data.,IBM
2020-06-03,"Shares of several technology companies are trading higher as equities continue to gain on optimism over an economic reopening as well as a smaller-than-expected drop in nonfarm payrolls. The sector has performed well this year amid the stay-at-home environment, which has been a positive for virtual communication, enterprise software and e-commerce.",IBM
2020-06-03,IBM Services and Aegon Sign Contract of Portfolio Administration for 800K Individual Life Insurance Contracts,IBM
2020-05-27,This New Tool Will Tell You Whether Or Not An Options Spread Is A Good Deal,IBM
2020-05-26,Shares of several technology companies are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses.,IBM
2020-05-22,IBM Is Cutting 'Several Thousand' Jobs,IBM
2020-05-22,IBM's Announces Company-Wide Job Cuts As New CEO Attempts Restructuring,IBM
2020-05-21,IBM Cutting Unspecified Number of Jobs,IBM
2020-05-18,Shares of several technology companies are trading higher amid market strength as news from a Moderna trial stoked optimism about a potential coronavirus vaccine.,IBM
2020-05-13,"VMWare Announces Creation Of Next-Gen SOC Alliance With Splunk, IBM Security, Google Cloud's Chronicle, Exabeam And Sumo Logic",IBM
2020-05-13,Financial Stocks Could Be In Focus Today After Powell Speech; Cisco Reports This Afternoon,IBM
2020-05-13,"Shares of several technology companies are trading lower amid market weakness, selling off from recent sector strength. Equities have moved lower for the session, potentially related to cautious comments from Fed Chair Powell, who suggested uncertainty and 'significant' downside risks in the economy.",IBM
2020-05-12,'India's Airtel looks to IBM for cloud help' -LightReading Report,IBM
2020-05-11,Former Google CEO Eric Schmidt Cut Last Ties With The Company: Report,IBM
2020-05-01,Shares of several technology companies are trading lower on market weakness as investor uncertainty grows following quarterly earnings results from multiple companies. NOTE: This could potentially be a sell-off after the S&P 500 rallied 12.7% over the past month.,IBM
2020-04-29,"Benzinga Pro's Top 5 Stocks To Watch For Wed., Apr. 29, 2020: FB, IBM, SHOP, MNST, MYOS",IBM
2020-04-29,"Locked Down, Demand Up: Amazon Shines As Virus Economy Plays To Its Strengths",IBM
2020-04-29,Zoom Uses Oracle's Cloud Computing Services To Handle Demand Surge During Pandemic,IBM
2020-04-28,Blue Chip Stocks Resisting COVID-19,IBM
2020-04-28,IBM Raises Qtr. Dividend From $1.62 To $1.63/Share,IBM
2020-04-22,"Little Things Count: After Selloff To Start Week, A Bit of Light Arrives With Positive Earnings",IBM
2020-04-22,"Citigroup Maintains Neutral on IBM, Raises Price Target to $120",IBM
2020-04-21,"8 Stocks To Watch For April 21, 2020",IBM
2020-04-21,10 Biggest Price Target Changes For Tuesday,IBM
2020-04-21,"Morgan Stanley Maintains Equal-Weight on IBM, Raises Price Target to $111",IBM
2020-04-21,"UPDATE: Wedbush Maintains Neutral On IBM, Lowers Price Target To $140 As Firm Notes Co's 'Mixed Q1/CY20 Results; Decelerating Revenue Growth At Red Hat/Cloud/Cognitive'",IBM
2020-04-21,"CocaCola, IBM Earnings Under Scrutiny As Both Multinationals Withdraw Guidance, Netflix Later",IBM
2020-04-21,10 Technology Stocks Moving In Tuesday's Pre-Market Session,IBM
2020-04-21,44 Stocks Moving In Tuesday's Mid-Day Session,IBM
2020-04-21,"UPDATE: Morgan Stanley Maintains Equal-Weight On IBM. Raises Target To $111 Notes 'New CEO, Arvind Krishna, is committed to returning IBM to sustainable growth, incl. more M&A or divestitures, but results are years away'",IBM
2020-04-21,"UPDATE: Morgan Stanley On IBM Notes 'Near-term, we lower our already below cons. CY20 EPS to $10.25 but peer multiple expansion drives our PT to $111, from $107'",IBM
2020-04-21,Why IBM's Stock Is Trading Lower Today,IBM
2020-04-21,"A Peek Into The Markets: US Stock Futures Fall Ahead Of Coca-Cola, Lockheed Martin Earnings",IBM
2020-04-21,30 Stocks Moving in Tuesday's Pre-Market Session,IBM
2020-04-21,"UBS Maintains Neutral on IBM, Lowers Price Target to $120",IBM
2020-04-21,"Wedbush Maintains Neutral on IBM, Lowers Price Target to $140",IBM
2020-04-21,International Business Machines shares are trading lower after the company reported worse-than-expected Q1 sales results. The company also withdrew FY20 guidance.,IBM
2020-04-20,A Peek Into The Markets: US Stock Futures Down Ahead Of Earnings,IBM
2020-04-20,"5 Stocks To Watch For April 20, 2020",IBM
2020-04-20,"IBM CFO Says Co Grew Substantially In China In March, After Being Down Significantly Through February",IBM
2020-04-20,IBM: Q1 Earnings Insights,IBM
2020-04-20,IBM Withdraws FY20 Guidance,IBM
2020-04-20,"IBM Q1 Cloud Revenue $5.4B, Up 19%",IBM
2020-04-20,"IBM Q1 Adj. EPS $1.840 Beats $1.790 Estimate, Sales $17.570B Miss $17.620B Estimate",IBM
2020-04-20,"Earnings Scheduled For April 20, 2020",IBM
2020-04-17,Shares of several technology companies are trading higher as markets gain on optimistic coronavirus outlook following positive remdesivir data from Gilead. Hopes of a treatment candidate have raised hopes of a rebound in economic activity in the future.,IBM
2020-04-17,"Big Earnings Day As Honeywell, Procter & Gamble, Schlumberger Among Those Reporting",IBM
2020-04-15,"Shares of several technology companies are trading lower as equities fall amid mixed earnings results from banks, a significant decline in the price of oil and worse than expected retail sales in March.",IBM
2020-04-15,"Stifel Maintains Buy on IBM, Lowers Price Target to $147",IBM
2020-04-15,Every Member Of Trump's 'Great American Economic Revival' Industry Groups,IBM
2020-04-15,"Credit Suisse Maintains Outperform on IBM, Lowers Price Target to $150",IBM
2020-04-14,"Wells Fargo Maintains Equal-Weight on IBM, Lowers Price Target to $120",IBM
2020-04-08,"Cramer Shares His Thoughts On IBM, Enphase And More",IBM
2020-04-07,"Shares of several technology, semiconductor, and software companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending and economic activity.",IBM
2020-04-07,IBM Is Getting Ready To Fight For A Place In The Cloud Universe,IBM
