date,title,stock
2020-06-11,"Shares of several companies in the broader consumer staples sector are trading lower as markets dip amid concerns of a second wave of the coronavirus. Virus concerns have clouded economic outlook and negatively impacted stocks across sectors, including staples",KO
2020-06-08,"Morgan Stanley Maintains Equal-Weight on Coca-Cola, Raises Price Target to $52",KO
2020-05-26,Shares of several consumer staples are trading higher in sympathy with the overall market as equities rally on coronavirus vaccine hopes as well as a pickup in economic activity as some US states reopen businesses. A vaccine could bring a return to increased consumer spending.,KO
2020-05-20,"Coca-Cola shares are trading higher, potentially amid strength in overall market. Additionally, reopenings of some US restaurants and venues could be potential demand catalysts for the company's products.",KO
2020-05-15,"Coca-Cola CFO Says Trough Will Come In Q2, Says Bullish Credit Suisse",KO
2020-05-12,Not Just Fun And Games: How Esports Could Offer Potential Investment Opportunities,KO
2020-05-08,Shares of several consumer goods companies are trading higher amid overall market strength. Better-than-expected US jobless numbers and easing lockdown restrictions in some states has led to hopes of a rebound in consumer spending.,KO
2020-04-22,"Citigroup Maintains Neutral on Coca-Cola, Lowers Price Target to $51",KO
2020-04-22,"RBC Capital Maintains Outperform on Coca-Cola, Lowers Price Target to $55",KO
2020-04-22,"UBS Maintains Buy on Coca-Cola, Lowers Price Target to $154",KO
2020-04-22,"Jefferies Maintains Hold on Coca-Cola, Lowers Price Target to $47",KO
2020-04-21,Afternoon Market Stats in 5 Minutes,KO
2020-04-21,"UPDATE: CFRA Maintains Strong Buy On Coca-Cola, Lowers Target To $55 Notes 'KO remains one of our top picks, although disclosure of a 25% volume decline since April 1 proves that almost no company is immune from Covid-19 impacts'",KO
2020-04-21,"Earnings Scheduled For April 21, 2020",KO
2020-04-21,"A Peek Into The Markets: US Stock Futures Fall Ahead Of Coca-Cola, Lockheed Martin Earnings",KO
2020-04-21,"CFRA Maintains Strong Buy on Coca-Cola, Lowers Price Target to $55",KO
2020-04-21,"Coca-Cola CEO Says All Plants In China Are Operating, Employees Have Returned To Company Offices In Shanghai",KO
2020-04-21,Mid-Day Market Update: TriState Capital Jumps Following Q1 Results; Cyclacel Pharmaceuticals Shares Plunge,KO
2020-04-21,Coca Cola Q1 EPS $0.51 Beats $0.44 Est; Revenue $8.6B Beats $8.28B Est,KO
2020-04-21,"UPDATE: CFRA On Coca-Cola Notes 'With its 3.5% dividend yield and high single-digit long-term EPS growth goal, we view KO as a stock capable of low double-digit total return potential and see little risk to KO's dividend'",KO
2020-04-21,Recap: Coca-Cola Q1 Earnings,KO
2020-04-21,Coca-Cola CFO Says Does Not Forsee Any Significant M&A Activity This Year; Co Does Not Intend To Repurchase Shares Going Forward This Year,KO
2020-04-21,"Coca-Cola Faces Deteriorating Environment, But BofA Says Fundamentals Remain Solid",KO
2020-04-21,"8 Stocks To Watch For April 21, 2020",KO
2020-04-21,Mid-Morning Market Update: Markets Open Lower; Coca-Cola Tops Q1 Estimates,KO
2020-04-21,Coca-Cola CEO: Global Volumes 'Fell Off A Cliff',KO
2020-04-21,Mid-Afternoon Market Update: Dow Slides 500 Points; Vaxart Shares Spike Higher,KO
2020-04-21,"CocaCola, IBM Earnings Under Scrutiny As Both Multinationals Withdraw Guidance, Netflix Later",KO
2020-04-20,3 ETFs To Play For This Week's Earnings Onslaught,KO
2020-04-20,Put Selling And Winning Systems In Any Market: Options Advice From MOJO Day Trading,KO
2020-04-18,"Indexes End Week Higher As White House Rolls Out State-By-State Coronavirus Strategy, Investors Digest First Round Of Earnings Reports",KO
2020-04-16,S&P 500 Futures Up 3.2% After Hours; Many Other Stocks Moving Higher With Futures; Investors Reacting Favorably To White Phase Guidelines On Reopening Economy,KO
2020-04-15,Every Member Of Trump's 'Great American Economic Revival' Industry Groups,KO
2020-04-15,Shares of several beverage companies are trading lower as the coronavirus pandemic continues to take its toll on the economy. The pandemic has decreased economic activity and consumer spending.,KO
2020-04-14,"Shares of several beverage companies are trading higher as markets gain on positive coronavirus outlook. Optimism surrounding the virus has led to hopes of an upcoming return to economic activity, which would benefit the sector.",KO
2020-04-13,Shares of several beverage companies are trading lower amid demand concerns caused by the coronavirus. The pandemic has caused a disruption in consumer spending.,KO
2020-04-07,"Food News Roundup: Guy Fieri Lends A Helping Hand, Expert Cautions Against Protectionist Measures, Coca-Cola Stock In Focus",KO
2020-04-07,4 Consumer Defensive Stocks Moving In Tuesday's Pre-Market Session,KO
2020-04-06,"Shares of several beverage companies are trading higher amid overall market strength on hopes US coronavirus hotspots could soon reach their peak. Additionally, the virus has lead to high demand for packaged food and beverages.",KO
2020-04-05,Ty Cobb: The Greatest Pro Athlete Investor Of All Time?,KO
2020-04-02,Coca-Cola CEO Reiterates Co. Has No Plans To Layoff Employees Amid Coronavirus Outbreak,KO
2020-04-01,"Goldman Sachs Reinstates Neutral on Coca-Cola, Announces $46 Price Target",KO
2020-03-31,"Morgan Stanley Maintains Equal-Weight on Coca-Cola, Raises Price Target to $46",KO
2020-03-30,Shares of several consumer-related companies are trading higher after President Trump extended coronavirus measures in an effort to better help sustain the outbreak.,KO
2020-03-27,"Shares of several consumer goods companies are trading lower as markets sell off following this week's strength. The sector has been on watch recently amid consumer demand for groceries, household items and other staples.",KO
2020-03-27,"Argus Research Upgrades Coca-Cola to Buy, Announces $54 Price Target",KO
2020-03-27,"Hearing Argus Upgrades Coca-Cola From Hold To Buy, Announces $54 Target",KO
2020-03-26,Shares of several consumer goods companies are trading higher amid market strength following US Senate passage of an economic stimulus package. NOTE: Packaged food and discount store stocks have been volatile recently amid consumer demand for staples.,KO
2020-03-25,"DZ Bank Upgrades Coca-Cola to Buy, Announces $51 Price Target",KO
2020-03-24,75 Stocks Moving In Tuesday's Mid-Day Session,KO
2020-03-24,Shares of several consumer goods companies are trading higher amid market strength on hopes of a US economic stimulus agreement. The sector has been volatile recently amid consumer demand for household staples and cleaning products.,KO
2020-03-24,Coca-Cola shares are trading higher after HSBC upgraded the company's stock from Hold to Buy.,KO
2020-03-24,26 Stocks Moving in Tuesday's Pre-Market Session,KO
2020-03-24,2020 Summer Olympics Likely To Be Postponed Until 2021 Due To Global Pandemic,KO
2020-03-24,"HSBC Upgrades Coca-Cola to Buy, Announces $45 Price Target",KO
2020-03-24,Orange Juice Futures Jump As Much As 6% To 11-Month High,KO
2020-03-23,"JP Morgan Upgrades Coca-Cola to Overweight, Announces $44 Price Target",KO
2020-03-23,Stocks That Hit 52-Week Lows On Monday,KO
2020-03-23,"UPDATE: JP Morgan Upgrades Coca-Cola to Overweight, Announces $44 Price Target As Firm Believes 'KO's deep transformation will allow faster top line, better margins, free cash flow conversion and returns in the long run.'",KO
2020-03-21,"Bulls And Bears Of The Week: Amazon, Boeing, Coca-Cola And More",KO
2020-03-20,UPDATE: Coca-Cola Says Impact From Coronavirus Could Be Material,KO
2020-03-20,"Deutsche Bank Maintains Buy on Coca-Cola, Lowers Price Target to $53",KO
2020-03-20,"Coca-Cola 8-K Shows Recent Local Market Policies, Initiatives To Reduce Spread Of Coronavirus Have Significantly Increased, Including Direction To Refrain From Dining At Restaurants, Cancellation Of Major Sporting, Entertainment Events",KO
2020-03-20,"UPDATE: Coca-Cola Says Recent Initiatives By Authorities To Limit Spread Of Coronavirus As Well As Recent Movement In Forex Rates, Will Have Negative Impact On FY Results; Says Does Not Expect To Achieve Prior Guidance",KO
2020-03-20,"Shares of some beverage companies are trading lower. Consumer demand for staples and packaged food items has been volatile recently, contributing to volatility in stock movement.",KO
2020-03-20,Stocks That Hit 52-Week Lows On Friday,KO
2020-03-19,"Shares of several consumer goods companies are trading lower. The coronavirus outbreak has led to volatility in consumer spending, which has moved the sector both up and down in recent weeks.",KO
2020-03-18,"Morgan Stanley Downgrades Coca-Cola From Overweight To Equal weight, Cuts PT From $65 To $52",KO
2020-03-18,96 Stocks Moving In Wednesday's Mid-Day Session,KO
